filePath,pointSize,styleItemName,styleItemCategory,styleItemTags,styleItemUniqueId,styleItemGeometryType,notes
{Symbols_Root}\Appendices\Land\20120200.emf,64,Infrastructure : Banking- Finance- and Insurance,Land Installation : Main Icon,Land Installation;Infrastructure;Banking- Finance- and Insurance Infrastructure;FULL_OCTAGON;E*FPB-----H****;Point;Infrastructure : Banking- Finance- and Insurance;20120200,20120200,Point,
{Symbols_Root}\Appendices\Land\20120201.emf,64,Infrastructure : Banking- Finance- and Insurance : ATM,Land Installation : Main Icon,Land Installation;Infrastructure;Banking- Finance- and Insurance Infrastructure;ATM;FULL_OCTAGON;E*FPBA----*****;Point;Infrastructure : Banking- Finance- and Insurance : ATM;20120201,20120201,Point,
{Symbols_Root}\Appendices\Land\20120202.emf,64,Infrastructure : Banking- Finance- and Insurance : Bank,Land Installation : Main Icon,Land Installation;Infrastructure;Banking- Finance- and Insurance Infrastructure;Bank;FULL_OCTAGON;E*FPBB----H****;Point;Infrastructure : Banking- Finance- and Insurance : Bank;20120202,20120202,Point,
{Symbols_Root}\Appendices\Land\20120203.emf,64,Infrastructure : Banking- Finance- and Insurance : Bullion Storage,Land Installation : Main Icon,Land Installation;Infrastructure;Banking- Finance- and Insurance Infrastructure;Bullion Storage;FULL_OCTAGON;E*FPBC----H****;Point;Infrastructure : Banking- Finance- and Insurance : Bullion Storage;20120203,20120203,Point,
{Symbols_Root}\Appendices\Land\20120204.emf,64,Infrastructure : Banking- Finance- and Insurance : Economic Infrastructure Asset,Land Installation : Main Icon,Land Installation;Infrastructure;Banking- Finance- and Insurance Infrastructure;Economic Infrastructure Asset;MAIN;SIDC_IS_NA;Point;Infrastructure : Banking- Finance- and Insurance : Economic Infrastructure Asset;20120204,20120204,Point,
{Symbols_Root}\Appendices\Land\20120205.emf,64,Infrastructure : Banking- Finance- and Insurance : Federal Reserve Bank,Land Installation : Main Icon,Land Installation;Infrastructure;Banking- Finance- and Insurance Infrastructure;Federal Reserve Bank;FULL_OCTAGON;E*FPBD----H****;Point;Infrastructure : Banking- Finance- and Insurance : Federal Reserve Bank;20120205,20120205,Point,
{Symbols_Root}\Appendices\Land\20120206.emf,64,Infrastructure : Banking- Finance- and Insurance : Financial Exchange,Land Installation : Main Icon,Land Installation;Infrastructure;Banking- Finance- and Insurance Infrastructure;Financial Exchange;FULL_OCTAGON;E*FPBE----H****;Point;Infrastructure : Banking- Finance- and Insurance : Financial Exchange;20120206,20120206,Point,
{Symbols_Root}\Appendices\Land\20120207.emf,64,Infrastructure : Banking- Finance- and Insurance : Financial Services-Other,Land Installation : Main Icon,Land Installation;Infrastructure;Banking- Finance- and Insurance Infrastructure;Financial Services-Other;FULL_OCTAGON;E*FPBF----H****;Point;Infrastructure : Banking- Finance- and Insurance : Financial Services-Other;20120207,20120207,Point,
{Symbols_Root}\Appendices\Land\20120300.emf,64,Infrastructure : Commercial,Land Installation : Main Icon,Land Installation;Infrastructure;Commercial Infrastructure;FULL_OCTAGON;E*FPC-----H****;Point;Infrastructure : Commercial;20120300,20120300,Point,
{Symbols_Root}\Appendices\Land\20120301.emf,64,Infrastructure : Commercial : Chemical Plant,Land Installation : Main Icon,Land Installation;Infrastructure;Commercial Infrastructure;Chemical Plant;FULL_OCTAGON;E*FPCA----H****;Point;Infrastructure : Commercial : Chemical Plant;20120301,20120301,Point,
{Symbols_Root}\Appendices\Land\20120302.emf,64,Infrastructure : Commercial : Firearms Manufacturer,Land Installation : Main Icon,Land Installation;Infrastructure;Commercial Infrastructure;Firearms Manufacturer;FULL_OCTAGON;E*FPCB----H****;Point;Infrastructure : Commercial : Firearms Manufacturer;20120302,20120302,Point,
{Symbols_Root}\Appendices\Land\20120303.emf,64,Infrastructure : Commercial : Firearms Retailer,Land Installation : Main Icon,Land Installation;Infrastructure;Commercial Infrastructure;Firearms Retailer;FULL_OCTAGON;E*FPCC----H****;Point;Infrastructure : Commercial : Firearms Retailer;20120303,20120303,Point,
