filePath,pointSize,styleItemName,styleItemCategory,styleItemTags,styleItemUniqueId,styleItemGeometryType,notes
{Symbols_Root}\Appendices\ControlMeasures\25131800.emf,64,Command and Control Points : Waypoint,Control Measure : Point,Control Measure;Command and Control Points;Waypoint;G*GPGPPW--****X;MAIN;Point;Command and Control Points : Waypoint;25131800,25131800,Point,
{Symbols_Root}\Appendices\ControlMeasures\25131900.emf,64,Command and Control Points : Airfield,Control Measure : Point,Control Measure;Command and Control Points;Airfield;NEW_AT_2525D;MAIN;Point;Command and Control Points : Airfield;25131900,25131900,Point,
{Symbols_Root}\Appendices\ControlMeasures\25160100.emf,64,Maneuver Points : Observation Post/Outpost (Unspecified),Control Measure : Point,Control Measure;Maneuver Points;Observation Post/Outpost (Unspecified);G*GPDPO---****X;MAIN;Point;Maneuver Points : Observation Post/Outpost (Unspecified);25160100,25160100,Point,
{Symbols_Root}\Appendices\ControlMeasures\25160200.emf,64,Maneuver Points : Observation Post/Outpost (Specified),Control Measure : Point,Control Measure;Maneuver Points;Observation Post/Outpost (Specified);NEW_AT_2525D;MAIN;Point;Maneuver Points : Observation Post/Outpost (Specified);25160200,25160200,Point,
{Symbols_Root}\Appendices\ControlMeasures\25160201.emf,64,Maneuver Points : Observation Post/Outpost (Specified) : Reconnaissance Outpost,Control Measure : Point,Control Measure;Maneuver Points;Observation Post/Outpost (Specified);Reconnaissance Outpost;G*GPDPOR--****X;MAIN;Point;Maneuver Points : Observation Post/Outpost (Specified) : Reconnaissance Outpost;25160201,25160201,Point,
{Symbols_Root}\Appendices\ControlMeasures\25160202.emf,64,Maneuver Points : Observation Post/Outpost (Specified) : Forward Observer Outpost,Control Measure : Point,Control Measure;Maneuver Points;Observation Post/Outpost (Specified);Forward Observer Outpost;G*GPDPOF--****X;MAIN;Point;Maneuver Points : Observation Post/Outpost (Specified) : Forward Observer Outpost;25160202,25160202,Point,
{Symbols_Root}\Appendices\ControlMeasures\25160203.emf,64,Maneuver Points : Observation Post/Outpost (Specified) : CBRN Observation Outpost,Control Measure : Point,Control Measure;Maneuver Points;Observation Post/Outpost (Specified);CBRN Observation Outpost;G*GPDPON--****X;MAIN;Point;Maneuver Points : Observation Post/Outpost (Specified) : CBRN Observation Outpost;25160203,25160203,Point,
{Symbols_Root}\Appendices\ControlMeasures\25160204.emf,64,Maneuver Points : Observation Post/Outpost (Specified) : Sensor Outpost/Listening Post,Control Measure : Point,Control Measure;Maneuver Points;Observation Post/Outpost (Specified);Sensor Outpost/Listening Post;G*GPDPOS--****X;MAIN;Point;Maneuver Points : Observation Post/Outpost (Specified) : Sensor Outpost/Listening Post;25160204,25160204,Point,
{Symbols_Root}\Appendices\ControlMeasures\25160205.emf,64,Maneuver Points : Observation Post/Outpost (Specified) : Combat Outpost,Control Measure : Point,Control Measure;Maneuver Points;Observation Post/Outpost (Specified);Combat Outpost;G*GPDPOC--****X;MAIN;Point;Maneuver Points : Observation Post/Outpost (Specified) : Combat Outpost;25160205,25160205,Point,
{Symbols_Root}\Appendices\ControlMeasures\25160300.emf,64,Maneuver Points : Target Reference Point,Control Measure : Point,Control Measure;Maneuver Points;Target Reference Point;G*GPDPT---****X;MAIN;Point;Maneuver Points : Target Reference Point;25160300,25160300,Point,
{Symbols_Root}\Appendices\ControlMeasures\25160400.emf,64,Maneuver Points : Point of Departure,Control Measure : Point,Control Measure;Maneuver Points;Point of Departure;G*GPOPP---****X;MAIN;Point;Maneuver Points : Point of Departure;25160400,25160400,Point,
{Symbols_Root}\Appendices\ControlMeasures\25180000.emf,64,Airspace Control Points,Control Measure : Point,Control Measure;Airspace Control Points;G*GPGPA---****X;MAIN;Point;Airspace Control Points;25180000,25180000,Point,
{Symbols_Root}\Appendices\ControlMeasures\25180100.emf,64,Airspace Control Points : Air Control Point,Control Measure : Point,Control Measure;Airspace Control Points;Air Control Point;G*GPAPP---****X;MAIN;Point;Airspace Control Points : Air Control Point;25180100,25180100,Point,
{Symbols_Root}\Appendices\ControlMeasures\25180200.emf,64,Airspace Control Points : Communications Checkpoint,Control Measure : Point,Control Measure;Airspace Control Points;Communications Checkpoint;G*GPAPC---****X;MAIN;Point;Airspace Control Points : Communications Checkpoint;25180200,25180200,Point,
{Symbols_Root}\Appendices\ControlMeasures\25180300.emf,64,Airspace Control Points : Downed Aircrew Pick-Up Point,Control Measure : Point,Control Measure;Airspace Control Points;Downed Aircrew Pick-Up Point;G*GPAPD---****X;MAIN;Point;Airspace Control Points : Downed Aircrew Pick-Up Point;25180300,25180300,Point,
{Symbols_Root}\Appendices\ControlMeasures\25180400.emf,64,Airspace Control Points : Pop-up Point,Control Measure : Point,Control Measure;Airspace Control Points;Pop-up Point;G*GPAPU---****X;MAIN;Point;Airspace Control Points : Pop-up Point;25180400,25180400,Point,
{Symbols_Root}\Appendices\ControlMeasures\25180500.emf,64,Airspace Control Points : Air Control Rendezvous,Control Measure : Point,Control Measure;Airspace Control Points;Air Control Rendezvous;NEW_AT_2525D;MAIN;Point;Airspace Control Points : Air Control Rendezvous;25180500,25180500,Point,
{Symbols_Root}\Appendices\ControlMeasures\25180600.emf,64,Airspace Control Points : TACAN,Control Measure : Point,Control Measure;Airspace Control Points;TACAN;G*GPGPAT--****X;MAIN;Point;Airspace Control Points : TACAN;25180600,25180600,Point,
{Symbols_Root}\Appendices\ControlMeasures\25180700.emf,64,Airspace Control Points : CAP Station,Control Measure : Point,Control Measure;Airspace Control Points;CAP Station;G*GPGPAP--****X;MAIN;Point;Airspace Control Points : CAP Station;25180700,25180700,Point,
{Symbols_Root}\Appendices\ControlMeasures\25180800.emf,64,Airspace Control Points : AEW Station,Control Measure : Point,Control Measure;Airspace Control Points;AEW Station;G*GPGPAW--****X;MAIN;Point;Airspace Control Points : AEW Station;25180800,25180800,Point,
{Symbols_Root}\Appendices\ControlMeasures\25180900.emf,64,Airspace Control Points : ASW (Helo and F/W) Station,Control Measure : Point,Control Measure;Airspace Control Points;ASW (Helo and F/W) Station;G*GPGPAA--****X;MAIN;Point;Airspace Control Points : ASW (Helo and F/W) Station;25180900,25180900,Point,
