filePath,pointSize,styleItemName,styleItemCategory,styleItemTags
{Symbols_Root}\Frames\0520.svg,32,Frame : Suspect : 0520,Frame,Frame;Suspect;Frames\0520.svg;0520;
{Symbols_Root}\Frames\0530.svg,32,Frame : Suspect : 0530,Frame,Frame;Suspect;Frames\0530.svg;0530;
{Symbols_Root}\Frames\0535.svg,32,Frame : Suspect : 0535,Frame,Frame;Suspect;Frames\0535.svg;0535;
{Symbols_Root}\Frames\0540.svg,32,Frame : Suspect : 0540,Frame,Frame;Suspect;Frames\0540.svg;0540;
{Symbols_Root}\Frames\0600.svg,32,Frame : Hostile : 0600,Frame,Frame;Hostile;Frames\0600.svg;0600;
{Symbols_Root}\Frames\0601.svg,32,Frame : Hostile : 0601,Frame,Frame;Hostile;Frames\0601.svg;0601;
{Symbols_Root}\Frames\0605.svg,32,Frame : Hostile : 0605,Frame,Frame;Hostile;Frames\0605.svg;0605;
{Symbols_Root}\Frames\0610.svg,32,Frame : Hostile : 0610,Frame,Frame;Hostile;Frames\0610.svg;0610;
{Symbols_Root}\Frames\0620.svg,32,Frame : Hostile : 0620,Frame,Frame;Hostile;Frames\0620.svg;0620;
{Symbols_Root}\Frames\0630.svg,32,Frame : Hostile : 0630,Frame,Frame;Hostile;Frames\0630.svg;0630;
{Symbols_Root}\Frames\0635.svg,32,Frame : Hostile : 0635,Frame,Frame;Hostile;Frames\0635.svg;0635;
{Symbols_Root}\Frames\0640.svg,32,Frame : Hostile : 0640,Frame,Frame;Hostile;Frames\0640.svg;0640;
