filePath,pointSize,styleItemName,styleItemCategory,styleItemTags,notes
{Symbols_Root}\Appendices\Land\mod1\10361.svg,32,Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Mobility Support,Land Unit : Modifier 1,Land Unit;Modifier 1;{TODO_SET_CATEGORY};Mobility Support;Appendices\Land\mod1\10361.svg;Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Mobility Support;10361,
{Symbols_Root}\Appendices\Land\mod1\10371.svg,32,Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Movement Control Center,Land Unit : Modifier 1,Land Unit;Modifier 1;{TODO_SET_CATEGORY};Movement Control Center;Appendices\Land\mod1\10371.svg;Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Movement Control Center;10371,
{Symbols_Root}\Appendices\Land\mod1\10381.svg,32,Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Multinational,Land Unit : Modifier 1,Land Unit;Modifier 1;{TODO_SET_CATEGORY};Multinational;Appendices\Land\mod1\10381.svg;Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Multinational;10381,
{Symbols_Root}\Appendices\Land\mod1\10391.svg,32,Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Multinational Specialized Unit,Land Unit : Modifier 1,Land Unit;Modifier 1;{TODO_SET_CATEGORY};Multinational Specialized Unit;Appendices\Land\mod1\10391.svg;Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Multinational Specialized Unit;10391,
{Symbols_Root}\Appendices\Land\mod1\10401.svg,32,Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Multiple Rocket Launcher,Land Unit : Modifier 1,Land Unit;Modifier 1;{TODO_SET_CATEGORY};Multiple Rocket Launcher;Appendices\Land\mod1\10401.svg;Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Multiple Rocket Launcher;10401,
{Symbols_Root}\Appendices\Land\mod1\10411.svg,32,Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : NATO Medical Role 1 ,Land Unit : Modifier 1,Land Unit;Modifier 1;{TODO_SET_CATEGORY};NATO Medical Role 1 ;Appendices\Land\mod1\10411.svg;Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : NATO Medical Role 1 ;10411,
{Symbols_Root}\Appendices\Land\mod1\10421.svg,32,Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : NATO Medical Role 2,Land Unit : Modifier 1,Land Unit;Modifier 1;{TODO_SET_CATEGORY};NATO Medical Role 2;Appendices\Land\mod1\10421.svg;Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : NATO Medical Role 2;10421,
{Symbols_Root}\Appendices\Land\mod1\10431.svg,32,Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : NATO Medical Role 3,Land Unit : Modifier 1,Land Unit;Modifier 1;{TODO_SET_CATEGORY};NATO Medical Role 3;Appendices\Land\mod1\10431.svg;Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : NATO Medical Role 3;10431,
{Symbols_Root}\Appendices\Land\mod1\10441.svg,32,Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : NATO Medical Role 4,Land Unit : Modifier 1,Land Unit;Modifier 1;{TODO_SET_CATEGORY};NATO Medical Role 4;Appendices\Land\mod1\10441.svg;Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : NATO Medical Role 4;10441,
{Symbols_Root}\Appendices\Land\mod1\10451.svg,32,Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Naval,Land Unit : Modifier 1,Land Unit;Modifier 1;{TODO_SET_CATEGORY};Naval;Appendices\Land\mod1\10451.svg;Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Naval;10451,
{Symbols_Root}\Appendices\Land\mod1\10461.svg,32,Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Node Center,Land Unit : Modifier 1,Land Unit;Modifier 1;{TODO_SET_CATEGORY};Node Center;Appendices\Land\mod1\10461.svg;Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Node Center;10461,
{Symbols_Root}\Appendices\Land\mod1\10471.svg,32,Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Nuclear,Land Unit : Modifier 1,Land Unit;Modifier 1;{TODO_SET_CATEGORY};Nuclear;Appendices\Land\mod1\10471.svg;Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Nuclear;10471,
{Symbols_Root}\Appendices\Land\mod1\10481.svg,32,Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Operations,Land Unit : Modifier 1,Land Unit;Modifier 1;{TODO_SET_CATEGORY};Operations;Appendices\Land\mod1\10481.svg;Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Operations;10481,
{Symbols_Root}\Appendices\Land\mod1\10491.svg,32,Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Radar,Land Unit : Modifier 1,Land Unit;Modifier 1;{TODO_SET_CATEGORY};Radar;Appendices\Land\mod1\10491.svg;Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Radar;10491,
{Symbols_Root}\Appendices\Land\mod1\10501.svg,32,Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Radio Frequency Identification (RFID) Interrogator / Sensor,Land Unit : Modifier 1,Land Unit;Modifier 1;{TODO_SET_CATEGORY};Radio Frequency Identification (RFID) Interrogator / Sensor;Appendices\Land\mod1\10501.svg;Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Radio Frequency Identification (RFID) Interrogator / Sensor;10501,
{Symbols_Root}\Appendices\Land\mod1\10511.svg,32,Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Radiological,Land Unit : Modifier 1,Land Unit;Modifier 1;{TODO_SET_CATEGORY};Radiological;Appendices\Land\mod1\10511.svg;Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Radiological;10511,
{Symbols_Root}\Appendices\Land\mod1\10521.svg,32,Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Search and Rescue,Land Unit : Modifier 1,Land Unit;Modifier 1;{TODO_SET_CATEGORY};Search and Rescue;Appendices\Land\mod1\10521.svg;Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Search and Rescue;10521,
{Symbols_Root}\Appendices\Land\mod1\10531.svg,32,Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Security,Land Unit : Modifier 1,Land Unit;Modifier 1;{TODO_SET_CATEGORY};Security;Appendices\Land\mod1\10531.svg;Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Security;10531,
{Symbols_Root}\Appendices\Land\mod1\10541.svg,32,Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Sensor,Land Unit : Modifier 1,Land Unit;Modifier 1;{TODO_SET_CATEGORY};Sensor;Appendices\Land\mod1\10541.svg;Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Sensor;10541,
{Symbols_Root}\Appendices\Land\mod1\10551.svg,32,Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Sensor Control Module (SCM),Land Unit : Modifier 1,Land Unit;Modifier 1;{TODO_SET_CATEGORY};Sensor Control Module (SCM);Appendices\Land\mod1\10551.svg;Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Sensor Control Module (SCM);10551,
{Symbols_Root}\Appendices\Land\mod1\10561.svg,32,Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Signals Intelligence,Land Unit : Modifier 1,Land Unit;Modifier 1;{TODO_SET_CATEGORY};Signals Intelligence;Appendices\Land\mod1\10561.svg;Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Signals Intelligence;10561,
{Symbols_Root}\Appendices\Land\mod1\10571.svg,32,Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Single Shelter Switch,Land Unit : Modifier 1,Land Unit;Modifier 1;{TODO_SET_CATEGORY};Single Shelter Switch;Appendices\Land\mod1\10571.svg;Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Single Shelter Switch;10571,
{Symbols_Root}\Appendices\Land\mod1\10581.svg,32,Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Single Rocket Launcher,Land Unit : Modifier 1,Land Unit;Modifier 1;{TODO_SET_CATEGORY};Single Rocket Launcher;Appendices\Land\mod1\10581.svg;Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Single Rocket Launcher;10581,
{Symbols_Root}\Appendices\Land\mod1\10591.svg,32,Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Smoke,Land Unit : Modifier 1,Land Unit;Modifier 1;{TODO_SET_CATEGORY};Smoke;Appendices\Land\mod1\10591.svg;Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Smoke;10591,
{Symbols_Root}\Appendices\Land\mod1\10601.svg,32,Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Sniper,Land Unit : Modifier 1,Land Unit;Modifier 1;{TODO_SET_CATEGORY};Sniper;Appendices\Land\mod1\10601.svg;Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Sniper;10601,
{Symbols_Root}\Appendices\Land\mod1\10611.svg,32,Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Sound Ranging,Land Unit : Modifier 1,Land Unit;Modifier 1;{TODO_SET_CATEGORY};Sound Ranging;Appendices\Land\mod1\10611.svg;Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Sound Ranging;10611,
{Symbols_Root}\Appendices\Land\mod1\10621.svg,32,Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Special Operations Forces (SOF),Land Unit : Modifier 1,Land Unit;Modifier 1;{TODO_SET_CATEGORY};Special Operations Forces (SOF);Appendices\Land\mod1\10621.svg;Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Special Operations Forces (SOF);10621,
{Symbols_Root}\Appendices\Land\mod1\10631.svg,32,Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Special Weapons and Tactics,Land Unit : Modifier 1,Land Unit;Modifier 1;{TODO_SET_CATEGORY};Special Weapons and Tactics;Appendices\Land\mod1\10631.svg;Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Special Weapons and Tactics;10631,
{Symbols_Root}\Appendices\Land\mod1\10641.svg,32,Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Survey,Land Unit : Modifier 1,Land Unit;Modifier 1;{TODO_SET_CATEGORY};Survey;Appendices\Land\mod1\10641.svg;Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Survey;10641,
{Symbols_Root}\Appendices\Land\mod1\10651.svg,32,Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Tactical Exploitation,Land Unit : Modifier 1,Land Unit;Modifier 1;{TODO_SET_CATEGORY};Tactical Exploitation;Appendices\Land\mod1\10651.svg;Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Tactical Exploitation;10651,
{Symbols_Root}\Appendices\Land\mod1\10661.svg,32,Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Target Acquisition,Land Unit : Modifier 1,Land Unit;Modifier 1;{TODO_SET_CATEGORY};Target Acquisition;Appendices\Land\mod1\10661.svg;Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Target Acquisition;10661,
{Symbols_Root}\Appendices\Land\mod1\10671.svg,32,Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Topographic,Land Unit : Modifier 1,Land Unit;Modifier 1;{TODO_SET_CATEGORY};Topographic;Appendices\Land\mod1\10671.svg;Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Topographic;10671,
{Symbols_Root}\Appendices\Land\mod1\10681.svg,32,Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Utility,Land Unit : Modifier 1,Land Unit;Modifier 1;{TODO_SET_CATEGORY};Utility;Appendices\Land\mod1\10681.svg;Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Utility;10681,
