filePath,pointSize,styleItemName,styleItemCategory,styleItemTags,styleItemUniqueId,styleItemGeometryType,notes
{Symbols_Root}\Appendices\SigInt\mod1\50281.emf,64,Jammer : Frequency Swept Jammer (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Frequency Swept Jammer;MOD1;Point;Jammer : Frequency Swept Jammer (Space);50281,50281,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50291.emf,64,Jammer : Jammer (General) (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Jammer (General);MOD1;Point;Jammer : Jammer (General) (Space);50291,50291,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50301.emf,64,Jammer : Noise Jammer (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Noise Jammer;MOD1;Point;Jammer : Noise Jammer (Space);50301,50301,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50311.emf,64,Jammer : Pulsed Jammer (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Pulsed Jammer;MOD1;Point;Jammer : Pulsed Jammer (Space);50311,50311,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50321.emf,64,Jammer : Repeater Jammer (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Repeater Jammer;MOD1;Point;Jammer : Repeater Jammer (Space);50321,50321,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50331.emf,64,Jammer : Spot Noise Jammer (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Spot Noise Jammer;MOD1;Point;Jammer : Spot Noise Jammer (Space);50331,50331,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50341.emf,64,Jammer : Transponder Jammer (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Transponder Jammer;MOD1;Point;Jammer : Transponder Jammer (Space);50341,50341,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50361.emf,64,Jammer : Missile Control (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Missile Control;MOD1;Point;Jammer : Missile Control (Space);50361,50361,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50391.emf,64,Jammer : Multi-Function (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Multi-Function;MOD1;Point;Jammer : Multi-Function (Space);50391,50391,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50421.emf,64,Jammer : Missile Tracking (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Missile Tracking;MOD1;Point;Jammer : Missile Tracking (Space);50421,50421,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50431.emf,64,Jammer : Navigational/General (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Navigational/General;MOD1;Point;Jammer : Navigational/General (Space);50431,50431,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50441.emf,64,Jammer : Navigational/Distance Measuring Equipment (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Navigational/Distance Measuring Equipment;MOD1;Point;Jammer : Navigational/Distance Measuring Equipment (Space);50441,50441,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50451.emf,64,Jammer : Navigation/Terrain Following (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Navigation/Terrain Following;MOD1;Point;Jammer : Navigation/Terrain Following (Space);50451,50451,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50491.emf,64,Communications : Point-to-Point Line of Sight (LOS) (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Point-to-Point Line of Sight (LOS);MOD1;Point;Communications : Point-to-Point Line of Sight (LOS) (Space);50491,50491,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50501.emf,64,Radar : Instrumentation (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Instrumentation;MOD1;Point;Radar : Instrumentation (Space);50501,50501,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50511.emf,64,Radar : Range Only (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Range Only;MOD1;Point;Radar : Range Only (Space);50511,50511,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50531.emf,64,Communications : Satellite Downlink (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Satellite Downlink;MOD1;Point;Communications : Satellite Downlink (Space);50531,50531,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50541.emf,64,Radar : Space (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Space;MOD1;Point;Radar : Space (Space);50541,50541,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50551.emf,64,Radar : Surface Search (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Surface Search;MOD1;Point;Radar : Surface Search (Space);50551,50551,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50581.emf,64,Jammer : Target Acquisition (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Target Acquisition;MOD1;Point;Jammer : Target Acquisition (Space);50581,50581,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50611.emf,64,Radar : Target Tracking (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Target Tracking;MOD1;Point;Radar : Target Tracking (Space);50611,50611,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50621.emf,64,Radar : Unknown (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Unknown;MOD1;Point;Radar : Unknown (Space);50621,50621,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50631.emf,64,Radar : Video Remoting (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Video Remoting;MOD1;Point;Radar : Video Remoting (Space);50631,50631,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50641.emf,64,Radar : Experimental (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Experimental;MOD1;Point;Radar : Experimental (Space);50641,50641,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51021.emf,64,Radar : Airborne Search and Bombing,Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Airborne Search and Bombing;MOD1;Point;Radar : Airborne Search and Bombing;51021,51021,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51031.emf,64,Radar : Airborne Intercept,Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Airborne Intercept;MOD1;Point;Radar : Airborne Intercept;51031,51031,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51041.emf,64,Radar : Altimeter,Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Altimeter;MOD1;Point;Radar : Altimeter;51041,51041,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51051.emf,64,Radar : Airborne Reconnaissance and Mapping,Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Airborne Reconnaissance and Mapping;MOD1;Point;Radar : Airborne Reconnaissance and Mapping;51051,51051,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51061.emf,64,Radar : Air Traffic Control (Air),Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Air Traffic Control;MOD1;Point;Radar : Air Traffic Control (Air);51061,51061,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51071.emf,64,Radar : Beacon Transponder (not IFF) (Air),Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Beacon Transponder (not IFF);MOD1;Point;Radar : Beacon Transponder (not IFF) (Air);51071,51071,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51081.emf,64,Radar : Battlefield Surveillance (Air),Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Battlefield Surveillance;MOD1;Point;Radar : Battlefield Surveillance (Air);51081,51081,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51101.emf,64,Radar : Controlled Intercept (Air),Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Controlled Intercept;MOD1;Point;Radar : Controlled Intercept (Air);51101,51101,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51111.emf,64,Communications : Cellular/Mobile (Air),Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Cellular/Mobile;MOD1;Point;Communications : Cellular/Mobile (Air);51111,51111,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51121.emf,64,Radar : Coastal Surveillance,Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Coastal Surveillance;MOD1;Point;Radar : Coastal Surveillance;51121,51121,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51131.emf,64,Radar : Decoy/Mimic,Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Decoy/Mimic;MOD1;Point;Radar : Decoy/Mimic;51131,51131,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51141.emf,64,Radar : Data Transmission (Air),Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Data Transmission;MOD1;Point;Radar : Data Transmission (Air);51141,51141,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51161.emf,64,Radar : Early Warning (Air),Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Early Warning;MOD1;Point;Radar : Early Warning (Air);51161,51161,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51171.emf,64,Radar : Fire Control (Air),Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Fire Control;MOD1;Point;Radar : Fire Control (Air);51171,51171,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51181.emf,64,Radar : Ground Mapping,Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Ground Mapping;MOD1;Point;Radar : Ground Mapping;51181,51181,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51211.emf,64,Radar : Identification Friend or Foe (Interrogator) (Air),Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Identification Friend or Foe (Interrogator);MOD1;Point;Radar : Identification Friend or Foe (Interrogator) (Air);51211,51211,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51231.emf,64,Radar : Ionospheric Sounding (Air),Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Ionospheric Sounding;MOD1;Point;Radar : Ionospheric Sounding (Air);51231,51231,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51241.emf,64,Radar : Identification Friend or Foe (Transponder) (Air),Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Identification Friend or Foe (Transponder);MOD1;Point;Radar : Identification Friend or Foe (Transponder) (Air);51241,51241,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51251.emf,64,Jammer : Barrage Jammer (Air),Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Barrage Jammer;MOD1;Point;Jammer : Barrage Jammer (Air);51251,51251,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51261.emf,64,Jammer : Click Jammer (Air),Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Click Jammer;MOD1;Point;Jammer : Click Jammer (Air);51261,51261,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51271.emf,64,Jammer : Deceptive Jammer (Air),Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Deceptive Jammer;MOD1;Point;Jammer : Deceptive Jammer (Air);51271,51271,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51281.emf,64,Jammer : Frequency Swept Jammer (Air),Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Frequency Swept Jammer;MOD1;Point;Jammer : Frequency Swept Jammer (Air);51281,51281,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51291.emf,64,Jammer : Jammer (General) (Air),Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Jammer (General);MOD1;Point;Jammer : Jammer (General) (Air);51291,51291,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51301.emf,64,Jammer : Noise Jammer (Air),Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Noise Jammer;MOD1;Point;Jammer : Noise Jammer (Air);51301,51301,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51311.emf,64,Jammer : Pulsed Jammer (Air),Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Pulsed Jammer;MOD1;Point;Jammer : Pulsed Jammer (Air);51311,51311,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51321.emf,64,Jammer : Repeater Jammer (Air),Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Repeater Jammer;MOD1;Point;Jammer : Repeater Jammer (Air);51321,51321,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51331.emf,64,Jammer : Spot Noise Jammer (Air),Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Spot Noise Jammer;MOD1;Point;Jammer : Spot Noise Jammer (Air);51331,51331,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51341.emf,64,Jammer : Transponder Jammer (Air),Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Transponder Jammer;MOD1;Point;Jammer : Transponder Jammer (Air);51341,51341,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51351.emf,64,Radar : Missile Acquisition (Air),Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Missile Acquisition;MOD1;Point;Radar : Missile Acquisition (Air);51351,51351,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51361.emf,64,Radar : Missile Control (Air),Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Missile Control;MOD1;Point;Radar : Missile Control (Air);51361,51361,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51371.emf,64,Radar : Missile Downlink,Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Missile Downlink;MOD1;Point;Radar : Missile Downlink;51371,51371,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51381.emf,64,Radar : Meteorological (Air),Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Meteorological;MOD1;Point;Radar : Meteorological (Air);51381,51381,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51391.emf,64,Jammer : Multi-Function (Air),Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Multi-Function;MOD1;Point;Jammer : Multi-Function (Air);51391,51391,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51401.emf,64,Radar : Missile Guidance (Air),Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Missile Guidance;MOD1;Point;Radar : Missile Guidance (Air);51401,51401,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51411.emf,64,Radar : Missile Homing,Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Missile Homing;MOD1;Point;Radar : Missile Homing;51411,51411,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51421.emf,64,Jammer : Missile Tracking (Air),Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Missile Tracking;MOD1;Point;Jammer : Missile Tracking (Air);51421,51421,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51431.emf,64,Jammer : Navigational/General (Air),Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Navigational/General;MOD1;Point;Jammer : Navigational/General (Air);51431,51431,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51441.emf,64,Jammer : Navigational/Distance Measuring Equipment (Air),Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Navigational/Distance Measuring Equipment;MOD1;Point;Jammer : Navigational/Distance Measuring Equipment (Air);51441,51441,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51451.emf,64,Jammer : Navigation/Terrain Following (Air),Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Navigation/Terrain Following;MOD1;Point;Jammer : Navigation/Terrain Following (Air);51451,51451,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51461.emf,64,Jammer : Navigational/Weather Avoidance (Air),Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Navigational/Weather Avoidance;MOD1;Point;Jammer : Navigational/Weather Avoidance (Air);51461,51461,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51471.emf,64,Communications : Omni-Line of Sight (LOS) (Air),Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Omni-Line of Sight (LOS);MOD1;Point;Communications : Omni-Line of Sight (LOS) (Air);51471,51471,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51481.emf,64,Radar : Proximity Use,Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Proximity Use;MOD1;Point;Radar : Proximity Use;51481,51481,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51491.emf,64,Communications : Point-to-Point Line of Sight (LOS) (Air),Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Point-to-Point Line of Sight (LOS);MOD1;Point;Communications : Point-to-Point Line of Sight (LOS) (Air);51491,51491,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51501.emf,64,Radar : Instrumentation (Air),Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Instrumentation;MOD1;Point;Radar : Instrumentation (Air);51501,51501,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51511.emf,64,Radar : Range Only (Air),Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Range Only;MOD1;Point;Radar : Range Only (Air);51511,51511,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51541.emf,64,Radar : Space (Air),Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Space;MOD1;Point;Radar : Space (Air);51541,51541,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51551.emf,64,Radar : Surface Search (Air),Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Surface Search;MOD1;Point;Radar : Surface Search (Air);51551,51551,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51571.emf,64,Radar : Satellite Uplink,Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Satellite Uplink;MOD1;Point;Radar : Satellite Uplink;51571,51571,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51581.emf,64,Radar : Target Acquisition,Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Target Acquisition;MOD1;Point;Radar : Target Acquisition;51581,51581,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51591.emf,64,Radar : Target Illumination (Air),Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Target Illumination;MOD1;Point;Radar : Target Illumination (Air);51591,51591,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51611.emf,64,Radar : Target Tracking (Air),Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Target Tracking;MOD1;Point;Radar : Target Tracking (Air);51611,51611,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51621.emf,64,Radar : Unknown (Air),Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Unknown;MOD1;Point;Radar : Unknown (Air);51621,51621,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51631.emf,64,Radar : Video Remoting (Air),Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Video Remoting;MOD1;Point;Radar : Video Remoting (Air);51631,51631,Point,
{Symbols_Root}\Appendices\SigInt\mod1\51641.emf,64,Radar : Experimental (Air),Signals Intelligence - Air : Modifier 1,Signals Intelligence - Air;Modifier 1;Experimental;MOD1;Point;Radar : Experimental (Air);51641,51641,Point,
{Symbols_Root}\Appendices\SigInt\mod1\52011.emf,64,Radar : Anti-Aircraft Fire Control (Land),Signals Intelligence - Land : Modifier 1,Signals Intelligence - Land;Modifier 1;Anti-Aircraft Fire Control;MOD1;Point;Radar : Anti-Aircraft Fire Control (Land);52011,52011,Point,
{Symbols_Root}\Appendices\SigInt\mod1\52061.emf,64,Radar : Air Traffic Control (Land),Signals Intelligence - Land : Modifier 1,Signals Intelligence - Land;Modifier 1;Air Traffic Control;MOD1;Point;Radar : Air Traffic Control (Land);52061,52061,Point,
