filePath,pointSize,styleItemName,styleItemCategory,styleItemTags,notes
{Symbols_Root}\Appendices\ControlMeasures\25130000.svg,32,Control Measures : Command and Control Points,Control Measures : Main Icon,Control Measures;Command and Control Points;Point;Appendices\ControlMeasures\25130000.svg;Control Measures : Command and Control Points;25130000,
{Symbols_Root}\Appendices\ControlMeasures\25130100.svg,32,Control Measures : Command and Control Points : Unspecified Control Point,Control Measures : Main Icon,Control Measures;Command and Control Points;Unspecified Control Point;Point;Appendices\ControlMeasures\25130100.svg;Control Measures : Command and Control Points : Unspecified Control Point;25130100,
{Symbols_Root}\Appendices\ControlMeasures\25130200.svg,32,Control Measures : Command and Control Points : Amnesty Point,Control Measures : Main Icon,Control Measures;Command and Control Points;Amnesty Point;Point;Appendices\ControlMeasures\25130200.svg;Control Measures : Command and Control Points : Amnesty Point;25130200,
{Symbols_Root}\Appendices\ControlMeasures\25130300.svg,32,Control Measures : Command and Control Points : Checkpoint,Control Measures : Main Icon,Control Measures;Command and Control Points;Checkpoint;Point;Appendices\ControlMeasures\25130300.svg;Control Measures : Command and Control Points : Checkpoint;25130300,
{Symbols_Root}\Appendices\ControlMeasures\25130400.svg,32,Control Measures : Command and Control Points : Center of Main Effort,Control Measures : Main Icon,Control Measures;Command and Control Points;Center of Main Effort;Point;Appendices\ControlMeasures\25130400.svg;Control Measures : Command and Control Points : Center of Main Effort;25130400,
{Symbols_Root}\Appendices\ControlMeasures\25130500.svg,32,Control Measures : Command and Control Points : Contact Point,Control Measures : Main Icon,Control Measures;Command and Control Points;Contact Point;Point;Appendices\ControlMeasures\25130500.svg;Control Measures : Command and Control Points : Contact Point;25130500,
{Symbols_Root}\Appendices\ControlMeasures\25130600.svg,32,Control Measures : Command and Control Points : Coordinating Point,Control Measures : Main Icon,Control Measures;Command and Control Points;Coordinating Point;Point;Appendices\ControlMeasures\25130600.svg;Control Measures : Command and Control Points : Coordinating Point;25130600,
{Symbols_Root}\Appendices\ControlMeasures\25130700.svg,32,Control Measures : Command and Control Points : Decision Point,Control Measures : Main Icon,Control Measures;Command and Control Points;Decision Point;Point;Appendices\ControlMeasures\25130700.svg;Control Measures : Command and Control Points : Decision Point;25130700,
{Symbols_Root}\Appendices\ControlMeasures\25130800.svg,32,Control Measures : Command and Control Points : Distress Call,Control Measures : Main Icon,Control Measures;Command and Control Points;Distress Call;Point;Appendices\ControlMeasures\25130800.svg;Control Measures : Command and Control Points : Distress Call;25130800,
{Symbols_Root}\Appendices\ControlMeasures\25130900.svg,32,Control Measures : Command and Control Points : Entry Control Point,Control Measures : Main Icon,Control Measures;Command and Control Points;Entry Control Point;Point;Appendices\ControlMeasures\25130900.svg;Control Measures : Command and Control Points : Entry Control Point;25130900,
{Symbols_Root}\Appendices\ControlMeasures\25131000.svg,32,Control Measures : Command and Control Points : Fly-To-Point,Control Measures : Main Icon,Control Measures;Command and Control Points;Fly-To-Point;Point;Appendices\ControlMeasures\25131000.svg;Control Measures : Command and Control Points : Fly-To-Point;25131000,
{Symbols_Root}\Appendices\ControlMeasures\25131001.svg,32,Control Measures : Command and Control Points : Fly-To-Point : Sonobuoy,Control Measures : Main Icon,Control Measures;Command and Control Points;Fly-To-Point;Sonobuoy;Point;Appendices\ControlMeasures\25131001.svg;Control Measures : Command and Control Points : Fly-To-Point : Sonobuoy;25131001,
{Symbols_Root}\Appendices\ControlMeasures\25131002.svg,32,Control Measures : Command and Control Points : Fly-To-Point : Weapon,Control Measures : Main Icon,Control Measures;Command and Control Points;Fly-To-Point;Weapon;Point;Appendices\ControlMeasures\25131002.svg;Control Measures : Command and Control Points : Fly-To-Point : Weapon;25131002,
{Symbols_Root}\Appendices\ControlMeasures\25131003.svg,32,Control Measures : Command and Control Points : Fly-To-Point : Normal,Control Measures : Main Icon,Control Measures;Command and Control Points;Fly-To-Point;Normal;Point;Appendices\ControlMeasures\25131003.svg;Control Measures : Command and Control Points : Fly-To-Point : Normal;25131003,
{Symbols_Root}\Appendices\ControlMeasures\25131100.svg,32,Control Measures : Command and Control Points : Linkup Point,Control Measures : Main Icon,Control Measures;Command and Control Points;Linkup Point;Point;Appendices\ControlMeasures\25131100.svg;Control Measures : Command and Control Points : Linkup Point;25131100,
{Symbols_Root}\Appendices\ControlMeasures\25131200.svg,32,Control Measures : Command and Control Points : Passage Point,Control Measures : Main Icon,Control Measures;Command and Control Points;Passage Point;Point;Appendices\ControlMeasures\25131200.svg;Control Measures : Command and Control Points : Passage Point;25131200,
{Symbols_Root}\Appendices\ControlMeasures\25131300.svg,32,Control Measures : Command and Control Points : Point of Interest,Control Measures : Main Icon,Control Measures;Command and Control Points;Point of Interest;Point;Appendices\ControlMeasures\25131300.svg;Control Measures : Command and Control Points : Point of Interest;25131300,
{Symbols_Root}\Appendices\ControlMeasures\25131301.svg,32,Control Measures : Command and Control Points : Point of Interest : Launch Event,Control Measures : Main Icon,Control Measures;Command and Control Points;Point of Interest;Launch Event;Point;Appendices\ControlMeasures\25131301.svg;Control Measures : Command and Control Points : Point of Interest : Launch Event;25131301,
{Symbols_Root}\Appendices\ControlMeasures\25131400.svg,32,Control Measures : Command and Control Points : Rally Point,Control Measures : Main Icon,Control Measures;Command and Control Points;Rally Point;Point;Appendices\ControlMeasures\25131400.svg;Control Measures : Command and Control Points : Rally Point;25131400,
{Symbols_Root}\Appendices\ControlMeasures\25131500.svg,32,Control Measures : Command and Control Points : Release Point,Control Measures : Main Icon,Control Measures;Command and Control Points;Release Point;Point;Appendices\ControlMeasures\25131500.svg;Control Measures : Command and Control Points : Release Point;25131500,
{Symbols_Root}\Appendices\ControlMeasures\25131600.svg,32,Control Measures : Command and Control Points : Start Point,Control Measures : Main Icon,Control Measures;Command and Control Points;Start Point;Point;Appendices\ControlMeasures\25131600.svg;Control Measures : Command and Control Points : Start Point;25131600,
{Symbols_Root}\Appendices\ControlMeasures\25131700.svg,32,Control Measures : Command and Control Points : Special Point,Control Measures : Main Icon,Control Measures;Command and Control Points;Special Point;Point;Appendices\ControlMeasures\25131700.svg;Control Measures : Command and Control Points : Special Point;25131700,
{Symbols_Root}\Appendices\ControlMeasures\25131800.svg,32,Control Measures : Command and Control Points : Waypoint,Control Measures : Main Icon,Control Measures;Command and Control Points;Waypoint;Point;Appendices\ControlMeasures\25131800.svg;Control Measures : Command and Control Points : Waypoint;25131800,
{Symbols_Root}\Appendices\ControlMeasures\25131900.svg,32,Control Measures : Command and Control Points : Airfield,Control Measures : Main Icon,Control Measures;Command and Control Points;Airfield;Point;Appendices\ControlMeasures\25131900.svg;Control Measures : Command and Control Points : Airfield;25131900,
{Symbols_Root}\Appendices\ControlMeasures\25160000.svg,32,Control Measures : Maneuver Points,Control Measures : Main Icon,Control Measures;Maneuver Points;Point;Appendices\ControlMeasures\25160000.svg;Control Measures : Maneuver Points;25160000,
{Symbols_Root}\Appendices\ControlMeasures\25160100.svg,32,Control Measures : Maneuver Points : Observation Post/Outpost (unspecified),Control Measures : Main Icon,Control Measures;Maneuver Points;Observation Post/Outpost (unspecified);Point;Appendices\ControlMeasures\25160100.svg;Control Measures : Maneuver Points : Observation Post/Outpost (unspecified);25160100,
{Symbols_Root}\Appendices\ControlMeasures\25160200.svg,32,Control Measures : Maneuver Points : Observation Post/Outpost (specified),Control Measures : Main Icon,Control Measures;Maneuver Points;Observation Post/Outpost (specified);Point;Appendices\ControlMeasures\25160200.svg;Control Measures : Maneuver Points : Observation Post/Outpost (specified);25160200,
{Symbols_Root}\Appendices\ControlMeasures\25160201.svg,32,Control Measures : Maneuver Points : Observation Post/Outpost (specified) : Reconnaissance Outpost,Control Measures : Main Icon,Control Measures;Maneuver Points;Observation Post/Outpost (specified);Reconnaissance Outpost;Point;Appendices\ControlMeasures\25160201.svg;Control Measures : Maneuver Points : Observation Post/Outpost (specified) : Reconnaissance Outpost;25160201,
{Symbols_Root}\Appendices\ControlMeasures\25160202.svg,32,Control Measures : Maneuver Points : Observation Post/Outpost (specified) : Forward Observer Outpost,Control Measures : Main Icon,Control Measures;Maneuver Points;Observation Post/Outpost (specified);Forward Observer Outpost;Point;Appendices\ControlMeasures\25160202.svg;Control Measures : Maneuver Points : Observation Post/Outpost (specified) : Forward Observer Outpost;25160202,
{Symbols_Root}\Appendices\ControlMeasures\25160203.svg,32,Control Measures : Maneuver Points : Observation Post/Outpost (specified) : CBRN Observation Outpost,Control Measures : Main Icon,Control Measures;Maneuver Points;Observation Post/Outpost (specified);CBRN Observation Outpost;Point;Appendices\ControlMeasures\25160203.svg;Control Measures : Maneuver Points : Observation Post/Outpost (specified) : CBRN Observation Outpost;25160203,
