Code,Value
0,Not Applicable
1,Feint/Dummy
2,Headquarters
3,Feint/Dummy Headquarters
4,Task Force
5,Feint/Dummy Task Force
6,Task Force Headquarters
7,Feint/Dummy Task Force Headquarters
9,Extension
-1,NotSet
