# Generated from: https://github.com/Esri/military-features-data/tree/master/data/mil2525c
# License: Apache V2: https://github.com/Esri/military-features-data/blob/master/license.txt

Ambulance Exchange Point N,GNSPPX--------X,C2 Military Operations.style,Combat Service Support,P,Appendix B; Combat Service Support; Neutral; Ambulance Exchange Point; AXP; GNSPPX--------X
Ambulance Exchange Point U,GUSPPX--------X,C2 Military Operations.style,Combat Service Support,P,Appendix B; Combat Service Support; Unknown; Ambulance Exchange Point; AXP; GUSPPX--------X
Ammunition Supply Point (ASP) F,GFSPPAS-------X,C2 Military Operations.style,Combat Service Support,P,Appendix B; Combat Service Support; Friendly; Ammunition Points; Ammunition Supply Point; Asp; GFSPPAS-------X
Ammunition Supply Point (ASP) H,GHSPPAS-------X,C2 Military Operations.style,Combat Service Support,P,Appendix B; Combat Service Support; Hostile; Ammunition Points; Ammunition Supply Point; Asp; GHSPPAS-------X
Ammunition Supply Point (ASP) N,GNSPPAS-------X,C2 Military Operations.style,Combat Service Support,P,Appendix B; Combat Service Support; Neutral; Ammunition Points; Ammunition Supply Point; Asp; GNSPPAS-------X
Ammunition Supply Point (ASP) U,GUSPPAS-------X,C2 Military Operations.style,Combat Service Support,P,Appendix B; Combat Service Support; Unknown; Ammunition Points; Ammunition Supply Point; Asp; GUSPPAS-------X
Ammunition Transfer Point (ATP) F,GFSPPAT-------X,C2 Military Operations.style,Combat Service Support,P,Appendix B; Combat Service Support; Friendly; Ammunition Points; Ammunition Transfer Point; Atp; GFSPPAT-------X
Ammunition Transfer Point (ATP) H,GHSPPAT-------X,C2 Military Operations.style,Combat Service Support,P,Appendix B; Combat Service Support; Hostile; Ammunition Points; Ammunition Transfer Point; Atp; GHSPPAT-------X
Ammunition Transfer Point (ATP) N,GNSPPAT-------X,C2 Military Operations.style,Combat Service Support,P,Appendix B; Combat Service Support; Neutral; Ammunition Points; Ammunition Transfer Point; Atp; GNSPPAT-------X
Ammunition Transfer Point (ATP) U,GUSPPAT-------X,C2 Military Operations.style,Combat Service Support,P,Appendix B; Combat Service Support; Unknown; Ammunition Points; Ammunition Transfer Point; Atp; GUSPPAT-------X
Amnesty Point F,GFGPGPPA------X,C2 Military Operations.style,Action Points,P,Appendix B; Command and Control and General Maneuver; General; Amnesty Point; Friendly; Action Points; GFGPGPPA------X
Amnesty Point H,GHGPGPPA------X,C2 Military Operations.style,Action Points,P,Appendix B; Command and Control and General Maneuver; General; Hostile; Amnesty Point; Action Points; GHGPGPPA------X
Amnesty Point N,GNGPGPPA------X,C2 Military Operations.style,Action Points,P,Appendix B; Command and Control and General Maneuver; General; Neutral; Amnesty Point; Action Points; GNGPGPPA------X
Amnesty Point U,GUGPGPPA------X,C2 Military Operations.style,Action Points,P,Appendix B; Command and Control and General Maneuver; General; Unknown; Amnesty Point; Action Points; GUGPGPPA------X
ANM F,GFGPGPUYA-----X,C2 Military Operations.style,Sea Subsurface,P,Appendix B; Command and Control and General Maneuver; General; Friendly; Anm; Under Sea Warfare; Sonobuoy; GFGPGPUYA-----X
ANM H,GHGPGPUYA-----X,C2 Military Operations.style,Sea Subsurface,P,Appendix B; Command and Control and General Maneuver; General; Hostile; Anm; Under Sea Warfare; Sonobuoy; GHGPGPUYA-----X
ANM N,GNGPGPUYA-----X,C2 Military Operations.style,Sea Subsurface,P,Appendix B; Command and Control and General Maneuver; General; Neutral; Anm; Under Sea Warfare; Sonobuoy; GNGPGPUYA-----X
ANM U,GUGPGPUYA-----X,C2 Military Operations.style,Sea Subsurface,P,Appendix B; Command and Control and General Maneuver; General; Unknown; Anm; Under Sea Warfare; Sonobuoy; GUGPGPUYA-----X
Antipersonnel (AP) Mines F,GFMPOMP---****X,C2 Military Operations.style,Obstacles,P,Appendix B; Mobility Survivability;  Obstacles; Friendly; Antipersonnel ;  Ap  Mines; GFMPOMP---****X
Antisubmarine Warfare Fixed Wing F,GFGPGPAA------X,C2 Military Operations.style,Aviation,P,Appendix B; Command And Control And General Maneuver;  General; Friendly; Antisubmarine Warfare Fixed Wing; GFGPGPAA------X
Antisubmarine Warfare Fixed Wing H,GHGPGPAA------X,C2 Military Operations.style,Aviation,P,Appendix B; Command And Control And General Maneuver;  General; Hostile; Antisubmarine Warfare Fixed Wing; GHGPGPAA------X
Antisubmarine Warfare Fixed Wing N,GNGPGPAA------X,C2 Military Operations.style,Aviation,P,Appendix B; Command And Control And General Maneuver;  General; Neutral; Antisubmarine Warfare Fixed Wing; GNGPGPAA------X
Antisubmarine Warfare Fixed Wing U,GUGPGPAA------X,C2 Military Operations.style,Aviation,P,Appendix B; Command And Control And General Maneuver;  General; Unknown; Antisubmarine Warfare Fixed Wing; GUGPGPAA------X
Antisubmarine Warfare Rotary Wing F,GFGPGPAH------X,C2 Military Operations.style,Aviation,P,Appendix B; Command And Control And General Maneuver;  General; Friendly; Antisubmarine Warfare Rotary Wing; GFGPGPAH------X
Antisubmarine Warfare Rotary Wing H,GHGPGPAH------X,C2 Military Operations.style,Aviation,P,Appendix B; Command And Control And General Maneuver;  General; Hostile; Antisubmarine Warfare Rotary Wing; GHGPGPAH------X
Antisubmarine Warfare Rotary Wing N,GNGPGPAH------X,C2 Military Operations.style,Aviation,P,Appendix B; Command And Control And General Maneuver;  General; Neutral; Antisubmarine Warfare Rotary Wing; GNGPGPAH------X
Antisubmarine Warfare Rotary Wing U,GUGPGPAH------X,C2 Military Operations.style,Aviation,P,Appendix B; Command And Control And General Maneuver;  General; Unknown; Antisubmarine Warfare Rotary Wing; GUGPGPAH------X
Antitank Mine (AT) F,GFMPOMT-------X,C2 Military Operations.style,Obstacles,P,Appendix B; Mobility Survivability; Obstacles; Friendly; Antitank Mine; At; GFMPOMT-------X
Antitank Mine (Directional) F,GFMPOME---****X,C2 Military Operations.style,Obstacles,P,Appendix B; Mobility Survivability; Obstacles; Friendly; Antitank Mine Directional; Arrow; Claymore; GFMPOME---****X
Antitank Mine With Antihandling Device F,GFMPOMD---****X,C2 Military Operations.style,Obstacles,P,Appendix B; Mobility Survivability;  Obstacles; Friendly; Antitank Mine With Antihandling Device; GFMPOMD---****X
ASW Control Station F,GFGPGPCA------X,C2 Military Operations.style,Sea Surface,P,Appendix B; Command And Control And General Maneuver;  General; Friendly; Asw Control Station; GFgpgpca------x
ASW Control Station H,GHGPGPCA------X,C2 Military Operations.style,Sea Surface,P,Appendix B; Command And Control And General Maneuver;  General; Hostile; Asw Control Station; GHgpgpca------x
ASW Control Station N,GNGPGPCA------X,C2 Military Operations.style,Sea Surface,P,Appendix B; Command And Control And General Maneuver;  General; Neutral; Asw Control Station; GNgpgpca------x
ASW Control Station U,GUGPGPCA------X,C2 Military Operations.style,Sea Surface,P,Appendix B; Command And Control And General Maneuver;  General; Unknown; Asw Control Station; GUgpgpca------x
ASW Submarine Control Station F,GFGPGPBSA-----X,C2 Military Operations.style,Sea Subsurface,P,Appendix B; Command And Control And General Maneuver;  General; Friendly; ASW Submarine Control Station; GFGPGPBSA-----X
ASW Submarine Control Station H,GHGPGPBSA-----X,C2 Military Operations.style,Sea Subsurface,P,Appendix B; Command And Control And General Maneuver;  General; Hostile; ASW Submarine Control Station; GHGPGPBSA-----X
ASW Submarine Control Station N,GNGPGPBSA-----X,C2 Military Operations.style,Sea Subsurface,P,Appendix B; Command And Control And General Maneuver;  General; Neutral; ASW Submarine Control Station; GNGPGPBSA-----X
ASW Submarine Control Station U,GUGPGPBSA-----X,C2 Military Operations.style,Sea Subsurface,P,Appendix B; Command And Control And General Maneuver;  General; Unknown; ASW Submarine Control Station; GUGPGPBSA-----X
ATAC F,GFGPGPUYT-----X,C2 Military Operations.style,Sea Subsurface,P,Appendix B; Command and Control and General Maneuver; General; Friendly; ATAC; Under Sea Warfare; Sonobuoy; GFGPGPUYT-----X
ATAC H,GHGPGPUYT-----X,C2 Military Operations.style,Sea Subsurface,P,Appendix B; Command and Control and General Maneuver; General; Hostile; ATAC; Under Sea Warfare; Sonobuoy; GHGPGPUYT-----X
