# Source File: https://github.com/Esri/military-features-data/blob/master/test/TestReproData/Mil-2525C-Wildcards.csv
# License: Apache V2: https://github.com/Esri/military-features-data/blob/master/license.txt
# Full SIDC,SIDC By Parts,Hierarchy Code,Name,Geometry
S*G*UUACSM-----,S * G * UU AC SM ** ** *,WAR.GRDTRK.UNT.CS.CBRN.CML.SMK.MOT,Motorized Smoke,
S*G*UUACC------,S * G * UU AC C- ** ** *,WAR.GRDTRK.UNT.CS.CBRN.CML.SMKDEC,Smoke/Decon,
S*G*UUACCK-----,S * G * UU AC CK ** ** *,WAR.GRDTRK.UNT.CS.CBRN.CML.SMKDEC.MECH,Mechanized Smoke/Decon,
S*G*UUACCM-----,S * G * UU AC CM ** ** *,WAR.GRDTRK.UNT.CS.CBRN.CML.SMKDEC.MOT,Motorized Smoke/Decon,
S*G*UUAD-------,S * G * UU AD -- ** ** *,WAR.GRDTRK.UNT.CS.CBRN.DECON,Decontamination,
S*G*UUAN-------,S * G * UU AN -- ** ** *,WAR.GRDTRK.UNT.CS.CBRN.NUC,Nuclear,
S*G*UUE--------,S * G * UU E- -- ** ** *,WAR.GRDTRK.UNT.CS.EOD,Explosive Ordnance Disposal,
S*G*UUI--------,S * G * UU I- -- ** ** *,WAR.GRDTRK.UNT.CS.IWU,Information Warfare Unit,
S*G*UUL--------,S * G * UU L- -- ** ** *,WAR.GRDTRK.UNT.CS.LAWENU,Law Enforcement Unit,
S*G*UULD-------,S * G * UU LD -- ** ** *,WAR.GRDTRK.UNT.CS.LAWENU.CID,Central Intelligence Division (Cid),
S*G*UULC-------,S * G * UU LC -- ** ** *,WAR.GRDTRK.UNT.CS.LAWENU.CLE,Civilian Law Enforcement,
S*G*UULM-------,S * G * UU LM -- ** ** *,WAR.GRDTRK.UNT.CS.LAWENU.MILP,Military Police,
S*G*UULF-------,S * G * UU LF -- ** ** *,WAR.GRDTRK.UNT.CS.LAWENU.SECPOL,Security Police (Air),
S*G*UULS-------,S * G * UU LS -- ** ** *,WAR.GRDTRK.UNT.CS.LAWENU.SHRPAT,Shore Patrol,
S*G*UUP--------,S * G * UU P- -- ** ** *,WAR.GRDTRK.UNT.CS.LNDSUP,Landing Support,
S*G*UUM--------,S * G * UU M- -- ** ** *,WAR.GRDTRK.UNT.CS.MILINT,Military Intelligence,
S*G*UUMA-------,S * G * UU MA -- ** ** *,WAR.GRDTRK.UNT.CS.MILINT.AEREXP,Aerial Exploitation,
S*G*UUMC-------,S * G * UU MC -- ** ** *,WAR.GRDTRK.UNT.CS.MILINT.CINT,Counterintelligence,
S*G*UUMQ-------,S * G * UU MQ -- ** ** *,WAR.GRDTRK.UNT.CS.MILINT.INTGN,Interrogation,
S*G*UUMJ-------,S * G * UU MJ -- ** ** *,WAR.GRDTRK.UNT.CS.MILINT.JINTCT,Joint Intelligence Center,
S*G*UUMO-------,S * G * UU MO -- ** ** *,WAR.GRDTRK.UNT.CS.MILINT.OPN,Operations,
S*G*UUMS-------,S * G * UU MS -- ** ** *,WAR.GRDTRK.UNT.CS.MILINT.SIGINT,Signal Intelligence (Sigint),
S*G*UUMSE------,S * G * UU MS E- ** ** *,WAR.GRDTRK.UNT.CS.MILINT.SIGINT.ECW,Electronic Warfare,
S*G*UUMSEA-----,S * G * UU MS EA ** ** *,WAR.GRDTRK.UNT.CS.MILINT.SIGINT.ECW.ARMWVH,Armored Wheeled Vehicle,
S*G*UUMSEC-----,S * G * UU MS EC ** ** *,WAR.GRDTRK.UNT.CS.MILINT.SIGINT.ECW.CRP,Corps,
S*G*UUMSED-----,S * G * UU MS ED ** ** *,WAR.GRDTRK.UNT.CS.MILINT.SIGINT.ECW.DFN,Direction Finding,
S*G*UUMSEI-----,S * G * UU MS EI ** ** *,WAR.GRDTRK.UNT.CS.MILINT.SIGINT.ECW.INC,Intercept,
S*G*UUMSEJ-----,S * G * UU MS EJ ** ** *,WAR.GRDTRK.UNT.CS.MILINT.SIGINT.ECW.JMG,Jamming,
S*G*UUMSET-----,S * G * UU MS ET ** ** *,WAR.GRDTRK.UNT.CS.MILINT.SIGINT.ECW.THT,Theater,
S*G*UUMR-------,S * G * UU MR -- ** ** *,WAR.GRDTRK.UNT.CS.MILINT.SVL,Surveillance,
S*G*UUMRX------,S * G * UU MR X- ** ** *,WAR.GRDTRK.UNT.CS.MILINT.SVL.GRDSM,Ground Station Module,
S*G*UUMRG------,S * G * UU MR G- ** ** *,WAR.GRDTRK.UNT.CS.MILINT.SVL.GRDSR,Ground Surveillance Radar,
S*G*UUMMO------,S * G * UU MM O- ** ** *,WAR.GRDTRK.UNT.CS.MILINT.SVL.METO,Meteorological,
S*G*UUMRS------,S * G * UU MR S- ** ** *,WAR.GRDTRK.UNT.CS.MILINT.SVL.SNS,Sensor,
S*G*UUMRSS-----,S * G * UU MR SS ** ** *,WAR.GRDTRK.UNT.CS.MILINT.SVL.SNS.SCM,Sensor Scm,
S*G*UUMT-------,S * G * UU MT -- ** ** *,WAR.GRDTRK.UNT.CS.MILINT.TACEXP,Tactical Exploit,
S*G*UUS--------,S * G * UU S- -- ** ** *,WAR.GRDTRK.UNT.CS.SIGUNT,Signal Unit,
S*G*UUSA-------,S * G * UU SA -- ** ** *,WAR.GRDTRK.UNT.CS.SIGUNT.ARA,Area,
S*G*UUSO-------,S * G * UU SO -- ** ** *,WAR.GRDTRK.UNT.CS.SIGUNT.CMDOPN,Command Operations,
S*G*UUSC-------,S * G * UU SC -- ** ** *,WAR.GRDTRK.UNT.CS.SIGUNT.COMCP,Communication Configured Package,
S*G*UUSCL------,S * G * UU SC L- ** ** *,WAR.GRDTRK.UNT.CS.SIGUNT.COMCP.LCCP,Large Communication Configured Package (Lccp),
S*G*UUSX-------,S * G * UU SX -- ** ** *,WAR.GRDTRK.UNT.CS.SIGUNT.ECRG,Electronic Ranging,
S*G*UUSF-------,S * G * UU SF -- ** ** *,WAR.GRDTRK.UNT.CS.SIGUNT.FWDCOM,Forward Communications,
S*G*UUSM-------,S * G * UU SM -- ** ** *,WAR.GRDTRK.UNT.CS.SIGUNT.MSE,Multiple Subscriber Element,
S*G*UUSML------,S * G * UU SM L- ** ** *,WAR.GRDTRK.UNT.CS.SIGUNT.MSE.LEN,Large Extension Node,
S*G*UUSMN------,S * G * UU SM N- ** ** *,WAR.GRDTRK.UNT.CS.SIGUNT.MSE.NODCTR,Node Center,
S*G*UUSMS------,S * G * UU SM S- ** ** *,WAR.GRDTRK.UNT.CS.SIGUNT.MSE.SEN,Small Extension Node,
S*G*UUSW-------,S * G * UU SW -- ** ** *,WAR.GRDTRK.UNT.CS.SIGUNT.PHOSWT,Telephone Switch,
S*G*UUSR-------,S * G * UU SR -- ** ** *,WAR.GRDTRK.UNT.CS.SIGUNT.RDOUNT,Radio Unit,
S*G*UUSRW------,S * G * UU SR W- ** ** *,WAR.GRDTRK.UNT.CS.SIGUNT.RDOUNT.RLY,Relay,
S*G*UUSRS------,S * G * UU SR S- ** ** *,WAR.GRDTRK.UNT.CS.SIGUNT.RDOUNT.TACSAT,Tactical Satellite,
S*G*UUSRT------,S * G * UU SR T- ** ** *,WAR.GRDTRK.UNT.CS.SIGUNT.RDOUNT.TTYCTR,Teletype Center,
S*G*UUSS-------,S * G * UU SS -- ** ** *,WAR.GRDTRK.UNT.CS.SIGUNT.SIGSUP,Signal Support,
S*G*US---------,S * G * US -- -- ** ** *,WAR.GRDTRK.UNT.CSS,Combat Service Support,
S*G*USA--------,S * G * US A- -- ** ** *,WAR.GRDTRK.UNT.CSS.ADMIN,Administrative (Admin),
S*G*USAC-------,S * G * US AC -- ** ** *,WAR.GRDTRK.UNT.CSS.ADMIN.CRP,Admin Corps,
S*G*USAF-------,S * G * US AF -- ** ** *,WAR.GRDTRK.UNT.CSS.ADMIN.FIN,Finance,
S*G*USAFC------,S * G * US AF C- ** ** *,WAR.GRDTRK.UNT.CSS.ADMIN.FIN.CRP,Finance Corps,
S*G*USAFT------,S * G * US AF T- ** ** *,WAR.GRDTRK.UNT.CSS.ADMIN.FIN.THT,Finance Theater,
S*G*USAJ-------,S * G * US AJ -- ** ** *,WAR.GRDTRK.UNT.CSS.ADMIN.JAG,Judge Advocate General (Jag),
S*G*USAJC------,S * G * US AJ C- ** ** *,WAR.GRDTRK.UNT.CSS.ADMIN.JAG.CRP,Jag Corps,
S*G*USAJT------,S * G * US AJ T- ** ** *,WAR.GRDTRK.UNT.CSS.ADMIN.JAG.THT,Jag Theater,
S*G*USAL-------,S * G * US AL -- ** ** *,WAR.GRDTRK.UNT.CSS.ADMIN.LBR,Labor,
S*G*USALC------,S * G * US AL C- ** ** *,WAR.GRDTRK.UNT.CSS.ADMIN.LBR.CRP,Labor Corps,
S*G*USALT------,S * G * US AL T- ** ** *,WAR.GRDTRK.UNT.CSS.ADMIN.LBR.THT,Labor Theater,
S*G*USAM-------,S * G * US AM -- ** ** *,WAR.GRDTRK.UNT.CSS.ADMIN.MTRY,Mortuary/Graves Registry,
S*G*USAMC------,S * G * US AM C- ** ** *,WAR.GRDTRK.UNT.CSS.ADMIN.MTRY.CRP,Mortuary/Graves Registry Corps,
S*G*USAMT------,S * G * US AM T- ** ** *,WAR.GRDTRK.UNT.CSS.ADMIN.MTRY.THT,Mortuary/Graves Registry Theater,
S*G*USAW-------,S * G * US AW -- ** ** *,WAR.GRDTRK.UNT.CSS.ADMIN.MWR,Morale Welfare Recreation (Mwr),
S*G*USAWC------,S * G * US AW C- ** ** *,WAR.GRDTRK.UNT.CSS.ADMIN.MWR.CRP,Mwr Corps,
S*G*USAWT------,S * G * US AW T- ** ** *,WAR.GRDTRK.UNT.CSS.ADMIN.MWR.THT,Mwr Theater,
S*G*USAS-------,S * G * US AS -- ** ** *,WAR.GRDTRK.UNT.CSS.ADMIN.PERSVC,Personnel Services,
S*G*USASC------,S * G * US AS C- ** ** *,WAR.GRDTRK.UNT.CSS.ADMIN.PERSVC.CRP,Personnel Corps,
S*G*USAST------,S * G * US AS T- ** ** *,WAR.GRDTRK.UNT.CSS.ADMIN.PERSVC.THT,Personnel Theater,
S*G*USAO-------,S * G * US AO -- ** ** *,WAR.GRDTRK.UNT.CSS.ADMIN.PST,Postal,
S*G*USAOC------,S * G * US AO C- ** ** *,WAR.GRDTRK.UNT.CSS.ADMIN.PST.CRP,Postal Corps,
S*G*USAOT------,S * G * US AO T- ** ** *,WAR.GRDTRK.UNT.CSS.ADMIN.PST.THT,Postal Theater,
S*G*USAP-------,S * G * US AP -- ** ** *,WAR.GRDTRK.UNT.CSS.ADMIN.PUBAFF,Public Affairs,
S*G*USAPB------,S * G * US AP B- ** ** *,WAR.GRDTRK.UNT.CSS.ADMIN.PUBAFF.BRCT,Public Affairs Broadcast,
S*G*USAPBC-----,S * G * US AP BC ** ** *,WAR.GRDTRK.UNT.CSS.ADMIN.PUBAFF.BRCT.CRP,Public Affairs Broadcast Corps,
S*G*USAPBT-----,S * G * US AP BT ** ** *,WAR.GRDTRK.UNT.CSS.ADMIN.PUBAFF.BRCT.THT,Public Affairs Broadcast Theater,
S*G*USAPC------,S * G * US AP C- ** ** *,WAR.GRDTRK.UNT.CSS.ADMIN.PUBAFF.CRP,Public Affairs Corps,
S*G*USAPM------,S * G * US AP M- ** ** *,WAR.GRDTRK.UNT.CSS.ADMIN.PUBAFF.JIB,Public Affairs Joint Information Bureau (Jib),
S*G*USAPMC-----,S * G * US AP MC ** ** *,WAR.GRDTRK.UNT.CSS.ADMIN.PUBAFF.JIB.CRP,Public Affairs Jib Corps,
S*G*USAPMT-----,S * G * US AP MT ** ** *,WAR.GRDTRK.UNT.CSS.ADMIN.PUBAFF.JIB.THT,Public Affairs Jib Theater,
S*G*USAPT------,S * G * US AP T- ** ** *,WAR.GRDTRK.UNT.CSS.ADMIN.PUBAFF.THT,Public Affairs Theater,
S*G*USAR-------,S * G * US AR -- ** ** *,WAR.GRDTRK.UNT.CSS.ADMIN.RELG,Religious/Chaplain,
S*G*USARC------,S * G * US AR C- ** ** *,WAR.GRDTRK.UNT.CSS.ADMIN.RELG.CRP,Religious/Chaplain Corps,
S*G*USART------,S * G * US AR T- ** ** *,WAR.GRDTRK.UNT.CSS.ADMIN.RELG.THT,Religious/Chaplain Theater,
S*G*USAX-------,S * G * US AX -- ** ** *,WAR.GRDTRK.UNT.CSS.ADMIN.RHU,Replacement Holding Unit (Rhu),
S*G*USAXC------,S * G * US AX C- ** ** *,WAR.GRDTRK.UNT.CSS.ADMIN.RHU.CRP,Rhu Corps,
S*G*USAXT------,S * G * US AX T- ** ** *,WAR.GRDTRK.UNT.CSS.ADMIN.RHU.THT,Rhu Theater,
S*G*USAQ-------,S * G * US AQ -- ** ** *,WAR.GRDTRK.UNT.CSS.ADMIN.SUPPLY,Quartermaster (Supply),
S*G*USAQC------,S * G * US AQ C- ** ** *,WAR.GRDTRK.UNT.CSS.ADMIN.SUPPLY.CRP,Quartermaster (Supply) Corps,
S*G*USAQT------,S * G * US AQ T- ** ** *,WAR.GRDTRK.UNT.CSS.ADMIN.SUPPLY.THT,Quartermaster (Supply) Theater,
S*G*USAT-------,S * G * US AT -- ** ** *,WAR.GRDTRK.UNT.CSS.ADMIN.THT,Admin Theater,
S*G*USX--------,S * G * US X- -- ** ** *,WAR.GRDTRK.UNT.CSS.MAINT,Maintenance,
S*G*USXC-------,S * G * US XC -- ** ** *,WAR.GRDTRK.UNT.CSS.MAINT.CRP,Maintenance Corps,
S*G*USXE-------,S * G * US XE -- ** ** *,WAR.GRDTRK.UNT.CSS.MAINT.EOP,Electro-Optical,
S*G*USXEC------,S * G * US XE C- ** ** *,WAR.GRDTRK.UNT.CSS.MAINT.EOP.CRP,Electro-Optical Corps,
S*G*USXET------,S * G * US XE T- ** ** *,WAR.GRDTRK.UNT.CSS.MAINT.EOP.THT,Electro-Optical Theater,
S*G*USXH-------,S * G * US XH -- ** ** *,WAR.GRDTRK.UNT.CSS.MAINT.HVY,Maintenance Heavy,
S*G*USXHC------,S * G * US XH C- ** ** *,WAR.GRDTRK.UNT.CSS.MAINT.HVY.CRP,Maintenance Heavy Corps,
S*G*USXHT------,S * G * US XH T- ** ** *,WAR.GRDTRK.UNT.CSS.MAINT.HVY.THT,Maintenance Heavy Theater,
S*G*USXO-------,S * G * US XO -- ** ** *,WAR.GRDTRK.UNT.CSS.MAINT.ORD,Ordnance,
S*G*USXOC------,S * G * US XO C- ** ** *,WAR.GRDTRK.UNT.CSS.MAINT.ORD.CRP,Ordnance Corps,
S*G*USXOM------,S * G * US XO M- ** ** *,WAR.GRDTRK.UNT.CSS.MAINT.ORD.MSL,Ordnance Missile,
S*G*USXOMC-----,S * G * US XO MC ** ** *,WAR.GRDTRK.UNT.CSS.MAINT.ORD.MSL.CRP,Ordnance Missile Corps,
S*G*USXOMT-----,S * G * US XO MT ** ** *,WAR.GRDTRK.UNT.CSS.MAINT.ORD.MSL.THT,Ordnance Missile Theater,
S*G*USXOT------,S * G * US XO T- ** ** *,WAR.GRDTRK.UNT.CSS.MAINT.ORD.THT,Ordnance Theater,
S*G*USXR-------,S * G * US XR -- ** ** *,WAR.GRDTRK.UNT.CSS.MAINT.RCY,Maintenance Recovery,
S*G*USXRC------,S * G * US XR C- ** ** *,WAR.GRDTRK.UNT.CSS.MAINT.RCY.CRP,Maintenance Recovery Corps,
S*G*USXRT------,S * G * US XR T- ** ** *,WAR.GRDTRK.UNT.CSS.MAINT.RCY.THT,Maintenance Recovery Theater,
S*G*USXT-------,S * G * US XT -- ** ** *,WAR.GRDTRK.UNT.CSS.MAINT.THT,Maintenance Theater,
S*G*USM--------,S * G * US M- -- ** ** *,WAR.GRDTRK.UNT.CSS.MED,Medical,
S*G*USMC-------,S * G * US MC -- ** ** *,WAR.GRDTRK.UNT.CSS.MED.CRP,Medical Corps,
S*G*USMD-------,S * G * US MD -- ** ** *,WAR.GRDTRK.UNT.CSS.MED.DEN,Medical Dental,
S*G*USMDC------,S * G * US MD C- ** ** *,WAR.GRDTRK.UNT.CSS.MED.DEN.CRP,Medical Dental Corps,
S*G*USMDT------,S * G * US MD T- ** ** *,WAR.GRDTRK.UNT.CSS.MED.DEN.THT,Medical Dental Theater,
S*G*USMM-------,S * G * US MM -- ** ** *,WAR.GRDTRK.UNT.CSS.MED.MEDTF,Medical Treatment Facility,
S*G*USMMC------,S * G * US MM C- ** ** *,WAR.GRDTRK.UNT.CSS.MED.MEDTF.CRP,Medical Treatment Facility Corps,
S*G*USMMT------,S * G * US MM T- ** ** *,WAR.GRDTRK.UNT.CSS.MED.MEDTF.THT,Medical Treatment Facility Theater,
S*G*USMP-------,S * G * US MP -- ** ** *,WAR.GRDTRK.UNT.CSS.MED.PSY,Medical Psychological,
S*G*USMPC------,S * G * US MP C- ** ** *,WAR.GRDTRK.UNT.CSS.MED.PSY.CRP,Medical Psychological Corps,
S*G*USMPT------,S * G * US MP T- ** ** *,WAR.GRDTRK.UNT.CSS.MED.PSY.THT,Medical Psychological Theater,
S*G*USMT-------,S * G * US MT -- ** ** *,WAR.GRDTRK.UNT.CSS.MED.THT,Medical Theater,
S*G*USMV-------,S * G * US MV -- ** ** *,WAR.GRDTRK.UNT.CSS.MED.VNY,Medical Veterinary,
S*G*USMVC------,S * G * US MV C- ** ** *,WAR.GRDTRK.UNT.CSS.MED.VNY.CRP,Medical Veterinary Corps,
S*G*USMVT------,S * G * US MV T- ** ** *,WAR.GRDTRK.UNT.CSS.MED.VNY.THT,Medical Veterinary Theater,
S*G*USS--------,S * G * US S- -- ** ** *,WAR.GRDTRK.UNT.CSS.SLP,Supply,
S*G*USS1-------,S * G * US S1 -- ** ** *,WAR.GRDTRK.UNT.CSS.SLP.CLS1,Supply Class I,
S*G*USS1C------,S * G * US S1 C- ** ** *,WAR.GRDTRK.UNT.CSS.SLP.CLS1.CRP,Supply Class I Corps,
S*G*USS1T------,S * G * US S1 T- ** ** *,WAR.GRDTRK.UNT.CSS.SLP.CLS1.THT,Supply Class I Theater,
S*G*USSX-------,S * G * US SX -- ** ** *,WAR.GRDTRK.UNT.CSS.SLP.CLS10,Supply Class X,
S*G*USSXC------,S * G * US SX C- ** ** *,WAR.GRDTRK.UNT.CSS.SLP.CLS10.CRP,Supply Class X Corps,
S*G*USSXT------,S * G * US SX T- ** ** *,WAR.GRDTRK.UNT.CSS.SLP.CLS10.THT,Supply Class X Theater,
S*G*USS2-------,S * G * US S2 -- ** ** *,WAR.GRDTRK.UNT.CSS.SLP.CLS2,Supply Class Ii,
S*G*USS2C------,S * G * US S2 C- ** ** *,WAR.GRDTRK.UNT.CSS.SLP.CLS2.CRP,Supply Class Ii Corps,
S*G*USS2T------,S * G * US S2 T- ** ** *,WAR.GRDTRK.UNT.CSS.SLP.CLS2.THT,Supply Class Ii Theater,
S*G*USS3-------,S * G * US S3 -- ** ** *,WAR.GRDTRK.UNT.CSS.SLP.CLS3,Supply Class Iii,
S*G*USS3A------,S * G * US S3 A- ** ** *,WAR.GRDTRK.UNT.CSS.SLP.CLS3.AVN,Supply Class Iii Aviation,
S*G*USS3AC-----,S * G * US S3 AC ** ** *,WAR.GRDTRK.UNT.CSS.SLP.CLS3.AVN.CRP,Supply Class Iii Aviation Corps,
S*G*USS3AT-----,S * G * US S3 AT ** ** *,WAR.GRDTRK.UNT.CSS.SLP.CLS3.AVN.THT,Supply Class Iii Aviation Theater,
S*G*USS3C------,S * G * US S3 C- ** ** *,WAR.GRDTRK.UNT.CSS.SLP.CLS3.CRP,Supply Class Iii Corps,
S*G*USS3T------,S * G * US S3 T- ** ** *,WAR.GRDTRK.UNT.CSS.SLP.CLS3.THT,Supply Class Iii Theater,
S*G*USS4-------,S * G * US S4 -- ** ** *,WAR.GRDTRK.UNT.CSS.SLP.CLS4,Supply Class Iv,
S*G*USS4C------,S * G * US S4 C- ** ** *,WAR.GRDTRK.UNT.CSS.SLP.CLS4.CRP,Supply Class Iv Corps,
S*G*USS4T------,S * G * US S4 T- ** ** *,WAR.GRDTRK.UNT.CSS.SLP.CLS4.THT,Supply Class Iv Theater,
S*G*USS5-------,S * G * US S5 -- ** ** *,WAR.GRDTRK.UNT.CSS.SLP.CLS5,Supply Class V,
S*G*USS5C------,S * G * US S5 C- ** ** *,WAR.GRDTRK.UNT.CSS.SLP.CLS5.CRP,Supply Class V Corps,
S*G*USS5T------,S * G * US S5 T- ** ** *,WAR.GRDTRK.UNT.CSS.SLP.CLS5.THT,Supply Class V Theater,
S*G*USS6-------,S * G * US S6 -- ** ** *,WAR.GRDTRK.UNT.CSS.SLP.CLS6,Supply Class Vi,
S*G*USS6C------,S * G * US S6 C- ** ** *,WAR.GRDTRK.UNT.CSS.SLP.CLS6.CRP,Supply Class Vi Corps,
S*G*USS6T------,S * G * US S6 T- ** ** *,WAR.GRDTRK.UNT.CSS.SLP.CLS6.THT,Supply Class Vi Theater,
S*G*USS7-------,S * G * US S7 -- ** ** *,WAR.GRDTRK.UNT.CSS.SLP.CLS7,Supply Class Vii,
S*G*USS7C------,S * G * US S7 C- ** ** *,WAR.GRDTRK.UNT.CSS.SLP.CLS7.CRP,Supply Class Vii Corps,
S*G*USS7T------,S * G * US S7 T- ** ** *,WAR.GRDTRK.UNT.CSS.SLP.CLS7.THT,Supply Class Vii Theater,
S*G*USS8-------,S * G * US S8 -- ** ** *,WAR.GRDTRK.UNT.CSS.SLP.CLS8,Supply Class Viii,
S*G*USS8C------,S * G * US S8 C- ** ** *,WAR.GRDTRK.UNT.CSS.SLP.CLS8.CRP,Supply Class Viii Corps,
S*G*USS8T------,S * G * US S8 T- ** ** *,WAR.GRDTRK.UNT.CSS.SLP.CLS8.THT,Supply Class Viii Theater,
S*G*USS9-------,S * G * US S9 -- ** ** *,WAR.GRDTRK.UNT.CSS.SLP.CLS9,Supply Class Ix,
S*G*USS9C------,S * G * US S9 C- ** ** *,WAR.GRDTRK.UNT.CSS.SLP.CLS9.CRP,Supply Class Ix Corps,
S*G*USS9T------,S * G * US S9 T- ** ** *,WAR.GRDTRK.UNT.CSS.SLP.CLS9.THT,Supply Class Ix Theater,
S*G*USSC-------,S * G * US SC -- ** ** *,WAR.GRDTRK.UNT.CSS.SLP.CRP,Supply Corps,
S*G*USSW-------,S * G * US SW -- ** ** *,WAR.GRDTRK.UNT.CSS.SLP.H2O,Supply Water,
S*G*USSWC------,S * G * US SW C- ** ** *,WAR.GRDTRK.UNT.CSS.SLP.H2O.CRP,Supply Water Corps,
S*G*USSWP------,S * G * US SW P- ** ** *,WAR.GRDTRK.UNT.CSS.SLP.H2O.PUR,Supply Water Purification,
S*G*USSWPC-----,S * G * US SW PC ** ** *,WAR.GRDTRK.UNT.CSS.SLP.H2O.PUR.CRP,Supply Water Purification Corps,
S*G*USSWPT-----,S * G * US SW PT ** ** *,WAR.GRDTRK.UNT.CSS.SLP.H2O.PUR.THT,Supply Water Purification Theater,
S*G*USSWT------,S * G * US SW T- ** ** *,WAR.GRDTRK.UNT.CSS.SLP.H2O.THT,Supply Water Theater,
S*G*USSL-------,S * G * US SL -- ** ** *,WAR.GRDTRK.UNT.CSS.SLP.LDY,Supply Laundry/Bath,
S*G*USSLC------,S * G * US SL C- ** ** *,WAR.GRDTRK.UNT.CSS.SLP.LDY.CRP,Supply Laundry/Bath Corps,
S*G*USSLT------,S * G * US SL T- ** ** *,WAR.GRDTRK.UNT.CSS.SLP.LDY.THT,Supply Laundry/Bath Theater,
S*G*USST-------,S * G * US ST -- ** ** *,WAR.GRDTRK.UNT.CSS.SLP.THT,Supply Theater,
S*G*UST--------,S * G * US T- -- ** ** *,WAR.GRDTRK.UNT.CSS.TPT,Transportation,
S*G*USTA-------,S * G * US TA -- ** ** *,WAR.GRDTRK.UNT.CSS.TPT.APOD,Apod/Apoe,
S*G*USTAC------,S * G * US TA C- ** ** *,WAR.GRDTRK.UNT.CSS.TPT.APOD.CRP,Apod/Apoe Corps,
S*G*USTAT------,S * G * US TA T- ** ** *,WAR.GRDTRK.UNT.CSS.TPT.APOD.THT,Apod/Apoe Theater,
S*G*USTC-------,S * G * US TC -- ** ** *,WAR.GRDTRK.UNT.CSS.TPT.CRP,Transportation Corps,
S*G*USTM-------,S * G * US TM -- ** ** *,WAR.GRDTRK.UNT.CSS.TPT.MCC,Movement Control Center (Mcc),
S*G*USTMC------,S * G * US TM C- ** ** *,WAR.GRDTRK.UNT.CSS.TPT.MCC.CRP,Mcc Corps,
S*G*USTMT------,S * G * US TM T- ** ** *,WAR.GRDTRK.UNT.CSS.TPT.MCC.THT,Mcc Theater,
S*G*USTI-------,S * G * US TI -- ** ** *,WAR.GRDTRK.UNT.CSS.TPT.MSL,Missile,
S*G*USTIC------,S * G * US TI C- ** ** *,WAR.GRDTRK.UNT.CSS.TPT.MSL.CRP,Missile Corps,
S*G*USTIT------,S * G * US TI T- ** ** *,WAR.GRDTRK.UNT.CSS.TPT.MSL.THT,Missile Theater,
S*G*USTR-------,S * G * US TR -- ** ** *,WAR.GRDTRK.UNT.CSS.TPT.RHD,Railhead,
S*G*USTRC------,S * G * US TR C- ** ** *,WAR.GRDTRK.UNT.CSS.TPT.RHD.CRP,Railhead Corps,
S*G*USTRT------,S * G * US TR T- ** ** *,WAR.GRDTRK.UNT.CSS.TPT.RHD.THT,Railhead Theater,
S*G*USTS-------,S * G * US TS -- ** ** *,WAR.GRDTRK.UNT.CSS.TPT.SPOD,Spod/Spoe,
S*G*USTSC------,S * G * US TS C- ** ** *,WAR.GRDTRK.UNT.CSS.TPT.SPOD.CRP,Spod/Spoe Corps,
S*G*USTST------,S * G * US TS T- ** ** *,WAR.GRDTRK.UNT.CSS.TPT.SPOD.THT,Spod/Spoe Theater,
S*G*USTT-------,S * G * US TT -- ** ** *,WAR.GRDTRK.UNT.CSS.TPT.THT,Transportation Theater,
S*U*-----------,S * U * -- -- -- ** ** *,WAR.SBSUF,Subsurface Track,
S*U*V----------,S * U * V- -- -- ** ** *,WAR.SBSUF.DRL,Dive Report Location,
S*U*E----------,S * U * E- -- -- ** ** *,WAR.SBSUF.ERL,Environmental Report Location,
S*U*ND---------,S * U * ND -- -- ** ** *,WAR.SBSUF.NSUB.DVR,Diver,
S*U*S----------,S * U * S- -- -- ** ** *,WAR.SBSUF.SUB,Submarine,
S*U*SB---------,S * U * SB -- -- ** ** *,WAR.SBSUF.SUB.BOTTMD,Bottomed,
S*U*SC---------,S * U * SC -- -- ** ** *,WAR.SBSUF.SUB.CNVPRN,Conventional Propulsion,
S*U*SCA--------,S * U * SC A- -- ** ** *,WAR.SBSUF.SUB.CNVPRN.ATK,Attack Submarine (Ss),
S*U*SCB--------,S * U * SC B- -- ** ** *,WAR.SBSUF.SUB.CNVPRN.BLST,Ballistic Missile Submarine (Ssb),
S*U*SCG--------,S * U * SC G- -- ** ** *,WAR.SBSUF.SUB.CNVPRN.GDD,Guided Missile Submarine (Ssg),
S*U*SCM--------,S * U * SC M- -- ** ** *,WAR.SBSUF.SUB.CNVPRN.MSL,Missile Submarine (Type Unknown),
S*U*SCF--------,S * U * SC F- -- ** ** *,WAR.SBSUF.SUB.CNVPRN.SURF,Surfaced Conventional Propulsion Submarine,
S*U*SR---------,S * U * SR -- -- ** ** *,WAR.SBSUF.SUB.CRT,Certain Submarine,
S*U*SX---------,S * U * SX -- -- ** ** *,WAR.SBSUF.SUB.NONSUB,Nonsubmarine,
S*U*SN---------,S * U * SN -- -- ** ** *,WAR.SBSUF.SUB.NPRN,Nuclear Propulsion,
S*U*SNA--------,S * U * SN A- -- ** ** *,WAR.SBSUF.SUB.NPRN.ATK,Attack Submarine (Ssn),
S*U*SNB--------,S * U * SN B- -- ** ** *,WAR.SBSUF.SUB.NPRN.BLST,Ballistic Missile Submarine (Ssbn),
